frame_c,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
15,3.0,[685.9266967773438 1460.472412109375 1398.2413330078125 2109.82666015625],[928.6359252929688 1881.05419921875 1159.704345703125 1982.8406982421875],0.5846607089042664,NAI3NRU,[0.7057106054035852]
16,5.0,[2200.562255859375 1226.3109130859375 2822.257080078125 1832.75927734375],[2425.079833984375 1642.60400390625 2595.917236328125 1725.1787109375],0.6623785495758057,٥5IV5U,[0.024703598022907333]
16,3.0,[683.5523071289062 1465.8221435546875 1396.9453125 2115.0908203125],[924.3287353515625 1882.8936767578125 1153.1334228515625 1989.9202880859375],0.6093679666519165,NAI3MRU,[0.40046169711121626]
17,5.0,[2197.037353515625 1229.9478759765625 2825.861572265625 1845.4395751953125],[2430.722900390625 1641.2406005859375 2614.875 1736.0731201171875],0.657509446144104,٥٥5IV5U,[0.11622962491402289]
17,3.0,[677.4136962890625 1471.979248046875 1394.217529296875 2123.94189453125],[897.8265380859375 1881.2052001953125 1161.661376953125 1993.2679443359375],0.45766422152519226,NMI3NRU,[0.4637682674355652]
18,5.0,[2200.779541015625 1246.6884765625 2824.044921875 1855.367431640625],[2435.0068359375 1658.251953125 2616.334716796875 1748.287841796875],0.6259393095970154,N5IV5U,[0.15427652273173523]
18,3.0,[675.4240112304688 1484.7777099609375 1389.8748779296875 2134.148681640625],[903.7427368164062 1901.384765625 1157.526123046875 2006.748046875],0.572807252407074,NMIJNRU,[0.32804692194640356]
19,3.0,[675.8236694335938 1494.25341796875 1387.98681640625 2140.172607421875],[917.968505859375 1911.1563720703125 1148.3724365234375 2009.7374267578125],0.6390044689178467,N٥IJNRU,[0.15378094783115148]
19,5.0,[2203.228515625 1251.998291015625 2828.08203125 1860.80078125],[2433.158935546875 1659.5841064453125 2616.353271484375 1747.4366455078125],0.6171999573707581,٧٧5IVSU,[0.1099624363301667]
20,5.0,[2204.346923828125 1250.6981201171875 2837.1904296875 1867.02685546875],[2433.712646484375 1672.27490234375 2614.56494140625 1752.9486083984375],0.6261605024337769,MUSIVSU,[0.6586927599298094]
20,3.0,[672.904052734375 1499.783935546875 1386.33251953125 2145.59033203125],[898.4423217773438 1922.7484130859375 1131.7933349609375 2019.0999755859375],0.6141663193702698,MMIJNRU,[0.409482540660221]
21,5.0,[2204.066162109375 1251.063720703125 2843.10986328125 1873.462890625],[2435.10205078125 1681.0770263671875 2619.671630859375 1763.31884765625],0.6458796262741089,N٥ST٧5U,[0.06770033388972992]
21,3.0,[671.2352294921875 1511.2965087890625 1377.5599365234375 2148.083251953125],[884.35107421875 1924.3564453125 1152.848876953125 2037.995361328125],0.6199501752853394,MAI3NRU,[0.2739578546721586]
22,5.0,[2206.791259765625 1255.5003662109375 2846.4111328125 1877.705078125],[2433.9111328125 1685.704833984375 2611.54248046875 1769.29833984375],0.6727550625801086,H٥5/٧5U,[0.09136985868926996]
22,3.0,[667.1633911132812 1514.6934814453125 1374.6180419921875 2150.40234375],[872.032470703125 1923.384521484375 1137.3695068359375 2037.88916015625],0.6461217999458313,MAI3NRU,[0.6712976088534207]
23,5.0,[2210.29150390625 1260.4754638671875 2852.448486328125 1884.643310546875],[2437.99072265625 1688.8095703125 2620.024658203125 1773.157470703125],0.6870481371879578,MSI5U,[0.1950276045988138]
23,3.0,[666.265625 1521.154052734375 1369.75048828125 2150.349853515625],[910.2145385742188 1941.6591796875 1144.8201904296875 2045.091064453125],0.6566100716590881,NAIJMRU,[0.35694616703178067]
24,5.0,[2207.959228515625 1265.3345947265625 2855.653564453125 1895.1302490234375],[2440.07373046875 1697.4246826171875 2622.91796875 1785.2025146484375],0.6740806102752686,MSIVSU,[0.2718520336842804]
24,3.0,[665.8311767578125 1526.5711669921875 1366.0977783203125 2149.72705078125],[871.8385620117188 1951.1964111328125 1131.603271484375 2066.682373046875],0.6297783255577087,NAI3NRU,[0.4156328642843661]
25,5.0,[2206.626953125 1265.0443115234375 2860.00634765625 1900.5577392578125],[2440.6376953125 1698.0546875 2624.806640625 1788.9141845703125],0.688610851764679,MSISU,[0.5554997275459591]
25,3.0,[665.8990478515625 1532.4146728515625 1362.911376953125 2149.297119140625],[863.300537109375 1962.0970458984375 1134.599609375 2074.216796875],0.6193851232528687,IAI3NRU,[0.4956502907689199]
26,5.0,[2203.856689453125 1265.7283935546875 2863.320068359375 1908.38671875],[2438.57958984375 1710.669921875 2624.6982421875 1794.645751953125],0.643627405166626,M٧5ISU,[0.2004048074824985]
26,3.0,[665.982421875 1540.482666015625 1359.61767578125 2149.75048828125],[885.8932495117188 1976.162109375 1132.2506103515625 2081.061767578125],0.6076200604438782,NAIحNRU,[0.34483837551962954]
27,3.0,[667.9795532226562 1548.9266357421875 1356.342529296875 2148.072021484375],[855.1962890625 1977.8658447265625 1129.2432861328125 2092.04345703125],0.6642913222312927,NAIJNRU,[0.42120623730824946]
27,5.0,[2199.629150390625 1265.1845703125 2864.349609375 1914.830322265625],[2441.453125 1719.418212890625 2625.448486328125 1802.8564453125],0.645291268825531,N5I٧5٧,[0.12882722701949562]
28,3.0,[665.616455078125 1554.5208740234375 1353.5211181640625 2148.37841796875],[873.2216186523438 1982.525146484375 1116.489990234375 2092.09423828125],0.6683345437049866,NIJMRU,[0.4373070731425622]
28,5.0,[2198.46826171875 1264.0465087890625 2868.84375 1921.3045654296875],[2448.481201171875 1726.820556640625 2626.799560546875 1804.2232666015625],0.6439894437789917,M5I٧5٧,[0.3011263954904254]
29,5.0,[2204.85693359375 1277.89794921875 2868.45849609375 1928.934814453125],[2448.243896484375 1732.496337890625 2627.56201171875 1818.087890625],0.6805600523948669,N5I٧5U,[0.1697412344095308]
29,3.0,[663.4589233398438 1562.892333984375 1347.782958984375 2148.439208984375],[858.9329223632812 1996.2850341796875 1119.795166015625 2105.770263671875],0.6548261046409607,NMI3URU,[0.1554900356529026]
30,5.0,[2204.445556640625 1285.3421630859375 2870.250244140625 1940.16064453125],[2449.427490234375 1734.9188232421875 2634.968994140625 1821.448974609375],0.6696608662605286,٥U5I٧5٧,[0.22123979365802118]
30,3.0,[663.044921875 1571.3275146484375 1344.337890625 2149.396240234375],[885.7261962890625 2018.2880859375 1093.0565185546875 2117.21630859375],0.6685217022895813,NAIBNRU,[0.35954869628550756]
31,3.0,[664.3478393554688 1576.4822998046875 1344.541259765625 2148.85009765625],[873.2385864257812 2022.1483154296875 1119.3245849609375 2125.7470703125],0.6970622539520264,NAI3NRU,[0.44949114888219793]
31,5.0,[2202.555419921875 1287.80224609375 2873.10986328125 1949.3878173828125],[2445.10546875 1741.8326416015625 2633.77001953125 1832.1087646484375],0.6631709337234497,٥5I٧5٥,[0.24086879067020103]
32,3.0,[664.447265625 1587.34326171875 1337.0059814453125 2146.695556640625],[838.1239013671875 2027.9073486328125 1110.9635009765625 2136.782470703125],0.6711313724517822,NA3NRU,[0.5371763279043552]
32,5.0,[2205.654052734375 1296.254638671875 2872.84033203125 1956.3369140625],[2446.227783203125 1747.6717529296875 2637.419189453125 1839.2838134765625],0.6670569181442261,٥U5I٧5٧,[0.17428783458868463]
33,3.0,[657.1674194335938 1594.388427734375 1329.6209716796875 2146.244384765625],[851.9326171875 2040.1622314453125 1122.056396484375 2151.592041015625],0.6496322154998779,NAI3NRU,[0.2936329682260192]
33,5.0,[2212.818115234375 1311.14111328125 2873.31884765625 1964.55078125],[2445.94677734375 1757.091796875 2637.182861328125 1845.126708984375],0.6225645542144775,N5I٧SU,[0.1135744338888034]
34,3.0,[648.421875 1598.283203125 1325.65966796875 2146.622314453125],[861.2503662109375 2047.534423828125 1123.2147216796875 2159.07861328125],0.6386067867279053,NH3NFU,[0.1587495349594126]
34,5.0,[2213.8310546875 1313.4844970703125 2875.468017578125 1968.7706298828125],[2451.7353515625 1765.7669677734375 2636.2734375 1849.5457763671875],0.6108701229095459,!51050,[0.20284390828591173]
35,5.0,[2213.4755859375 1315.069580078125 2879.801025390625 1976.807861328125],[2453.04052734375 1774.5498046875 2644.04736328125 1857.52294921875],0.6545050144195557,N5/٧5٧,[0.13337253153988482]
35,3.0,[643.6239624023438 1609.1668701171875 1318.4822998046875 2147.537841796875],[856.0748291015625 2065.391845703125 1110.78076171875 2160.0],0.6332533955574036,NAI3NFU,[0.4957997410274591]
36,5.0,[2210.073974609375 1319.715576171875 2880.200927734375 1986.8035888671875],[2456.67333984375 1781.47412109375 2642.4052734375 1864.072998046875],0.6692808866500854,!517،0,[0.0220671174842451]
36,3.0,[633.2677612304688 1617.55908203125 1312.503173828125 2151.3896484375],[834.805908203125 2073.6484375 1088.431884765625 2160.0],0.4879611134529114,٧»٥٥٢٧,[0.04712114542344702]
37,5.0,[2208.830810546875 1322.9925537109375 2881.03515625 1994.5767822265625],[2460.328369140625 1783.6409912109375 2644.20947265625 1869.942626953125],0.687628984451294,7؟7/٥5,[0.06540053215515457]
37,3.0,[627.8109130859375 1622.385009765625 1311.682861328125 2151.920654296875],[823.1731567382812 2077.22314453125 1091.7796630859375 2160.0],0.38788336515426636,,[0.04760339444215979]
38,5.0,[2211.638916015625 1334.1322021484375 2879.764404296875 2003.459716796875],[2454.337890625 1790.9132080078125 2645.66552734375 1885.3780517578125],0.6878284215927124,0$7/5خ,[0.10731309914856296]
38,3.0,[629.3673706054688 1632.6234130859375 1307.257080078125 2148.76708984375],[845.4556274414062 2086.273193359375 1084.9769287109375 2160.0],0.3671567738056183,,[]
38,6.0,[1150.80126953125 1129.9105224609375 1710.7335205078125 1578.2503662109375],[1338.8050537109375 1399.716552734375 1504.665283203125 1472.6903076171875],0.28063899278640747,[»I505ث!,[0.06706416910785808]
39,5.0,[2213.925537109375 1341.7684326171875 2880.966064453125 2009.3460693359375],[2457.27490234375 1802.0262451171875 2646.574951171875 1891.9324951171875],0.6738560795783997,N5/!0؟,[0.02484779266556503]
40,5.0,[2215.881591796875 1345.01513671875 2885.60888671875 2014.7598876953125],[2456.88818359375 1805.865966796875 2646.154052734375 1896.6470947265625],0.6552442908287048,M5/٧5(,[0.12035713499895818]
41,5.0,[2217.947021484375 1356.104248046875 2887.977294921875 2026.4573974609375],[2463.614013671875 1817.2789306640625 2655.18701171875 1900.1224365234375],0.5812811851501465,٥U5/٧5(,[0.07893185428403138]
42,5.0,[2223.5361328125 1367.367431640625 2895.44775390625 2038.9134521484375],[2466.374267578125 1826.6297607421875 2660.42822265625 1914.635009765625],0.6811327934265137,NU5/٧SU,[0.137677565931922]
43,5.0,[2221.586669921875 1369.8382568359375 2898.9853515625 2045.8798828125],[2466.073486328125 1830.2845458984375 2659.58447265625 1917.1065673828125],0.6828470230102539,NUSIVSU,[0.2114672665402706]
43,6.0,[1137.388916015625 1144.4349365234375 1710.8958740234375 1599.67529296875],[1354.1923828125 1420.5323486328125 1513.2813720703125 1506.3333740234375],0.2555859386920929,G»I5آ٥J,[0.24181401981330802]
44,5.0,[2220.131591796875 1370.7078857421875 2904.62548828125 2054.518310546875],[2472.37890625 1836.032958984375 2665.0087890625 1930.83837890625],0.6747440695762634,MUSIUSU,[0.14312638301095057]
45,5.0,[2220.2255859375 1375.854736328125 2907.3408203125 2062.694091796875],[2477.49853515625 1846.67138671875 2669.35546875 1936.99365234375],0.6553391814231873,N٥5/"5٧,[0.25553860536328193]
46,5.0,[2222.434814453125 1380.638916015625 2910.097900390625 2068.060302734375],[2474.115234375 1849.404541015625 2671.718994140625 1940.357421875],0.6413108110427856,٥٥5//5٧,[0.12737806377260136]
47,5.0,[2226.038330078125 1383.0892333984375 2919.36279296875 2074.85107421875],[2477.614990234375 1861.7120361328125 2674.664306640625 1950.8133544921875],0.6651971340179443,M٥5/٧5٧,[0.12607470141443453]
48,5.0,[2226.623291015625 1392.52587890625 2918.783447265625 2082.76416015625],[2476.667236328125 1874.605224609375 2673.083740234375 1963.8277587890625],0.7115466594696045,N٥5/VSU,[0.18640281571685455]
48,6.0,[1118.000244140625 1163.39892578125 1708.65185546875 1633.018798828125],[1325.109375 1450.8758544921875 1479.09375 1523.8338623046875],0.25210800766944885,EYI5٥EJ,[0.2876604070774188]
49,5.0,[2228.86376953125 1397.9688720703125 2922.76904296875 2088.068603515625],[2478.65576171875 1876.3524169921875 2673.87744140625 1965.5372314453125],0.6968823075294495,!H5IS٧,[0.11670856232928627]
50,5.0,[2231.689208984375 1400.0101318359375 2933.18798828125 2097.06787109375],[2485.389892578125 1889.4407958984375 2677.994140625 1978.6556396484375],0.6927865147590637,N٥5|٧SU,[0.0831767551702382]
51,5.0,[2234.7412109375 1406.7332763671875 2935.892578125 2103.07763671875],[2487.904541015625 1898.7930908203125 2683.07177734375 1985.6766357421875],0.6603764891624451,M٥5/V5٧,[0.040400307834051206]
51,6.0,[1106.084716796875 1174.6649169921875 1708.8173828125 1653.75244140625],[1315.2769775390625 1456.226806640625 1499.302734375 1549.8658447265625],0.2720475196838379,EYISى٥J,[0.1926490522579707]
